Incident ID,Plant,Date,Description,Incident Type,Cause
1,Plant A,2024-02-08,"On 2024-02-08, a worker in Plant A's production area tripped over an unmarked hazard.",other,Human error
2,Plant D,2024-05-02,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-05-02.,near-miss,Unknown
3,Plant C,2024-09-18,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-09-18.,ventilation,Unknown
4,Plant A,2024-01-03,A near-miss incident was reported on 2024-01-03 at Plant A.,heat exhaustion,Unknown
5,Plant D,2024-04-13,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-04-13.,other,Human error
6,Plant A,2024-04-02,A near-miss incident was reported on 2024-04-02 at Plant A.,heat exhaustion,Environment
7,Plant B,2024-01-29,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-01-29.,falling object,Environment
8,Plant C,2024-08-13,A near-miss incident was reported on 2024-08-13 at Plant C.,slip,Environment
9,Plant B,2024-02-18,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-02-18.,electrical,Equipment
10,Plant D,2024-05-23,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-05-23.,injury,Environment
11,Plant B,2024-06-30,A fire alarm was triggered in Plant B's assembly line on 2024-06-30.,fire,Human error
12,Plant C,2024-03-13,"On 2024-03-13, a worker in Plant C's production area tripped over an unmarked hazard.",safety violation,Unknown
13,Plant D,2024-03-27,A near-miss incident was reported on 2024-03-27 at Plant D.,fire,Unknown
14,Plant B,2024-06-08,"On 2024-06-08, a worker in Plant B's production area tripped over an unmarked hazard.",electrical,Unknown
15,Plant B,2024-06-26,A fire alarm was triggered in Plant B's assembly line on 2024-06-26.,electrical,Unknown
16,Plant C,2024-01-25,A near-miss incident was reported on 2024-01-25 at Plant C.,safety violation,Unknown
17,Plant D,2024-04-05,"On 2024-04-05, a worker in Plant D's production area tripped over an unmarked hazard.",fire,Unknown
18,Plant D,2024-07-10,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-07-10.,heat exhaustion,Human error
19,Plant A,2024-06-30,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-06-30.,near-miss,Equipment
20,Plant D,2024-01-21,Employee reported dizziness and nausea in Plant D's packaging area on 2024-01-21.,slip,Equipment
21,Plant D,2024-02-13,"On 2024-02-13, a worker in Plant D's production area tripped over an unmarked hazard.",other,Environment
22,Plant D,2024-01-03,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-01-03.,slip,Unknown
23,Plant A,2024-01-04,A fire alarm was triggered in Plant A's assembly line on 2024-01-04.,injury,Unknown
24,Plant A,2024-02-16,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-02-16.,fire,Unknown
25,Plant B,2024-09-17,A near-miss incident was reported on 2024-09-17 at Plant B.,ventilation,Equipment
26,Plant B,2024-08-31,A fire alarm was triggered in Plant B's assembly line on 2024-08-31.,near-miss,Equipment
27,Plant B,2024-05-20,A fire alarm was triggered in Plant B's assembly line on 2024-05-20.,slip,Environment
28,Plant B,2024-02-21,A near-miss incident was reported on 2024-02-21 at Plant B.,fire,Equipment
29,Plant B,2024-07-03,Employee reported dizziness and nausea in Plant B's packaging area on 2024-07-03.,heat exhaustion,Human error
30,Plant C,2024-04-22,Employee reported dizziness and nausea in Plant C's packaging area on 2024-04-22.,near-miss,Unknown
31,Plant A,2024-08-20,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-08-20.,fire,Human error
32,Plant A,2024-02-19,A near-miss incident was reported on 2024-02-19 at Plant A.,injury,Unknown
33,Plant B,2024-01-13,A fire alarm was triggered in Plant B's assembly line on 2024-01-13.,safety violation,Environment
34,Plant C,2024-05-13,A near-miss incident was reported on 2024-05-13 at Plant C.,other,Environment
35,Plant C,2024-04-01,"On 2024-04-01, a worker in Plant C's production area tripped over an unmarked hazard.",heat exhaustion,Equipment
36,Plant C,2024-08-04,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-08-04.,heat exhaustion,Environment
37,Plant D,2024-06-14,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-06-14.,injury,Unknown
38,Plant D,2024-01-07,"On 2024-01-07, a worker in Plant D's production area tripped over an unmarked hazard.",electrical,Human error
39,Plant C,2024-06-04,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-06-04.,chemical spill,Unknown
40,Plant B,2024-02-08,A near-miss incident was reported on 2024-02-08 at Plant B.,safety violation,Human error
41,Plant B,2024-02-24,Employee reported dizziness and nausea in Plant B's packaging area on 2024-02-24.,ventilation,Environment
42,Plant A,2024-07-24,A near-miss incident was reported on 2024-07-24 at Plant A.,injury,Human error
43,Plant D,2024-08-12,Employee reported dizziness and nausea in Plant D's packaging area on 2024-08-12.,other,Environment
